96,"Swapnil Badondkar","F:/songs/artist/Swapnil Badondkar/",India,4,0
97,"Feroz Khan","F:/songs/artist/Feroz Khan/",India,6,0
98,"Yasser Desai","F:/songs/artist/Yasser Desai/",India,4,0
99,"Nihal Tauro","F:/songs/artist/Nihal Tauro/",India,4,0
101,"Kumar Sharma","F:/songs/artist/Kumar Sharma/",India,4,0
103,"Nehaal Naseem","F:/songs/artist/Nehaal Naseem/",India,4,0
104,"Bannet Dosanjh","F:/songs/artist/Bannet Dosanjh/",India,6,0
105,"Diljit Dosanjh","F:/songs/artist/Diljit Dosanjh/",India,6,0
106,"AP Dhillon","F:/songs/artist/AP Dhillon/","United Kingdom",6,0
107,"Gulfateh Khan","F:/songs/artist/Gulfateh Khan/",India,4,0
109,"Badshah and Payal Dev","F:/songs/artist/Badshah and Payal Dev/",India,4,0
111,"Yatharth Ratnum","F:/songs/artist/Yatharth Ratnum/",India,4,0
113,"Ashwani Machal","F:/songs/artist/Ashwani Machal/",India,4,0
114,"Sarit Dutta","F:/songs/artist/Sarit Dutta/",India,4,0
116,"Sonu Nigam","F:/songs/artist/Sonu Nigam/",India,4,0
117,"Ajay - Atul","F:/songs/artist/Ajay - Atul/",India,4,0
118,"Shah Rukh Khan","F:/songs/artist/Shah Rukh Khan/",India,4,0
119,"Happy Raikoti","F:/songs/artist/Happy Raikoti/",India,6,0
120,"Rashmeet Kaur","F:/songs/artist/Rashmeet Kaur/",India,4,0
121,"Jaura Phagwara","F:/songs/artist/Jaura Phagwara/",India,6,0
124,Abhijeet,F:/songs/artist/Abhijeet/,India,4,0
126,"Kaifi Khalil","F:/songs/artist/Kaifi Khalil/",India,4,0
127,"Dhananjay Dhadkan","F:/songs/artist/Dhananjay Dhadkan/",India,11,0
128,"Nawal Khan","F:/songs/artist/Nawal Khan/",Pakistan,50,0
130,"Anirudh Ravichander","F:/songs/artist/Anirudh Ravichander/",India,5,0
134,"Manndakini Bora","F:/songs/artist/Manndakini Bora/",India,4,0
135,"Varsha Singh Dhanoa","F:/songs/artist/Varsha Singh Dhanoa/",India,4,0
136,"Sneh Upadhya","F:/songs/artist/Sneh Upadhya/",India,4,0
138,"Saaj Bhatt","F:/songs/artist/Saaj Bhatt/",India,4,0
141,Akhil,F:/songs/artist/Akhil/,India,6,0
143,"B Praak","F:/songs/artist/B Praak/",India,6,0
144,"Mirthula Siva","F:/songs/artist/Mirthula Siva/",India,4,0
145,Kabyashree,F:/songs/artist/Kabyashree/,India,4,0
147,Kk,F:/songs/artist/Kk/,India,4,0
148,"Indu Sonali","F:/songs/artist/Indu Sonali/",India,11,0
149,"Flop Likhari ft Harpi Gill","F:/songs/artist/Flop Likhari ft Harpi Gill/",India,6,0
150,"Pratham Kumbhar","F:/songs/artist/Pratham Kumbhar/",India,4,0
151,"Sunidhi Chauhan","F:/songs/artist/Sunidhi Chauhan/",India,4,0
16,"Himesh Reshammiya","F:/songs/artist/Himesh Reshammiya/",India,4,0
154,"Vasudev Gandharv","F:/songs/artist/Vasudev Gandharv/",India,4,0
123,"Mohammed Irfan","F:/songs/artist/Mohammed Irfan/",India,4,0
158,"Trapti Tomar","F:/songs/artist/Trapti Tomar/",India,4,0
159,"Sumit Goswami","F:/songs/artist/Sumit Goswami/",India,20,0
160,"Hiphop Tamizha","F:/songs/artist/Hiphop Tamizha/",India,5,0
161,"Ashok Minj","F:/songs/artist/Ashok Minj/",India,4,0
162,Papon,F:/songs/artist/Papon/,India,4,0
163,"Sachet Tandon","F:/songs/artist/Sachet Tandon/",India,4,0
164,"Kanika Kapoor","F:/songs/artist/Kanika Kapoor/",India,4,0
166,"Ankit Srivastava","F:/songs/artist/Ankit Srivastava/",India,4,0
167,"Himanshu Yadav","F:/songs/artist/Himanshu Yadav/",India,4,0
168,"The PropheC","F:/songs/artist/The PropheC/",Canada,6,0
169,"Ashish Kulkarni","F:/songs/artist/Ashish Kulkarni/",India,4,0
170,"Upasna Gahlot","F:/songs/artist/Upasna Gahlot/",India,4,0
171,"Vraj Kshatriya","F:/songs/artist/Vraj Kshatriya/",India,4,0
177,"Jazim Sharma","F:/songs/artist/Jazim Sharma/",India,4,0
180,"Babbu Maan","F:/songs/artist/Babbu Maan/",India,6,0
181,"Guru Randhawa","F:/songs/artist/Guru Randhawa/",India,6,0
182,"Ndee Kundu","F:/songs/artist/Ndee Kundu/",India,20,0
184,Karthik,F:/songs/artist/Karthik/,India,5,0
185,Mitraz,F:/songs/artist/Mitraz/,India,6,0
186,"Varun Grover","F:/songs/artist/Varun Grover/",India,4,0
189,"Akash Das","F:/songs/artist/Akash Das/",India,4,0
190,D.Imman,F:/songs/artist/D.Imman/,India,5,0
191,"Sid Sriram","F:/songs/artist/Sid Sriram/",India,5,0
192,"BYG BASS","F:/songs/artist/BYG BASS/",India,6,0
193,"Prince Narula","F:/songs/artist/Prince Narula/",India,6,0
194,"Ritesh Tiwari","F:/songs/artist/Ritesh Tiwari/",India,4,0
195,"Dilraj Dhillon","F:/songs/artist/Dilraj Dhillon/",India,6,0
196,"Harrdy Sandhu","F:/songs/artist/Harrdy Sandhu/",India,6,0
199,"Sunny Hindustani","F:/songs/artist/Sunny Hindustani/",India,4,0
200,"Sucharita Saha Das","F:/songs/artist/Sucharita Saha Das/",India,4,0
201,"Manisha Saini","F:/songs/artist/Manisha Saini/",India,4,0
203,"Riar Saab","F:/songs/artist/Riar Saab/",India,6,0
204,"Radha Khude","F:/songs/artist/Radha Khude/",India,4,0
205,"Samaksh ft Vjazzz","F:/songs/artist/Samaksh ft Vjazzz/",India,4,0
206,"Pushpavanam Kuppusamy","F:/songs/artist/Pushpavanam Kuppusamy/",India,5,0
