id,name,points
245,"Think Uncut",0
246,Ayothi,0
247,"Kuttram Purinthal",0
248,Thokar,0
249,"Sita Ramam Tamil",0
250,"Gargi Tamil",0
251,Laththi,0
252,Taanakkaran,0
253,"Cobra Tamil",0
254,Veeran,0
255,Custody,0
256,"Hit The First Case",0
257,Tinkiya,0
258,"Tinna Vicho",0
259,"Mere Desh Ki Dharti",0
260,"Jeena Abhi Baaki Hain",0
261,"Laung Laachi 2",0
262,Adiye,0
263,"Babe Bhangra Paunde Ne",0
264,"Bhaichara On The Floor",0
265,"Bhool Bhulaiyaa 2",0
266,"Carry On Jatta 3",0
267,"Dehati Disco",0
268,Dhokhe,0
269,"Dil Te Dil Tak",0
270,"Ezhu Kadal Thaandi",0
271,Farhana,0
272,Gehraiyaan,0
273,"Indian Police Force",0
274,"Kabzaa Hindi",0
275,"Kadamaiyai Sei",0
276,"King Of Kotha",0
277,"Mister Mummy",0
278,Musafir,0
279,"Nigah Marda Ayi Ve",0
280,Nishana,0
281,"Sab Moh Maaya Hai",0
282,"Seenu Dolu",0
283,"Shaadi Mubarak",0
284,"Shamshera Hindi",0
285,Shehzada,0
286,"Student Kota",0
287,"Takku Mukku Tikku Thalam",0
288,"Thank God",0
289,"Udeekan Teriyaan",0
290,"Vikram Hindi",0
291,"Yaaran Da Rutbaa",0
292,Yankee,0
293,Zohrajabeen,0
294,"Razaa E Ishq",0
295,Signature,0
296,"Trap Clap",0
297,"Truck Anthem",0
298,"Dear Dia",0
299,Bawaal,0
300,"Khalli Balli",0
301,Freddy,0
302,"Tiku Weds Sheru",0
303,CAT,0
304,"Rajini The Jailer",0
305,"Dhokha 2022",0
306,"Aashiqui Bhojpuri",0
307,"Tu Jo Nahi Hai Yaha",0
308,"Tu Meri Aashiqui",0
309,Kushi,0
310,"Tu You",0
311,"Janhit Mein Jaari",0
312,"Toolsidas Junior",0
313,"Gadar 2",0
314,"Vinveli Devathai",0
315,Understand,0
316,"Prithviraj Tamil",0
317,"Unki Aadat Si",0
318,Rudhran,0
319,Yeevaal,0
320,"U And Me",0
321,Viruman,0
322,"Thudikkum Karangal",0
323,Vair,0
324,"Sass Meri Ne Munda Jameya",0
325,"Code Name Tiranga",0
326,"Khichdi 2",0
327,Jawan,0
328,Vattam,0
329,"Naane Varuvean",0
330,"Mudhal Nee Mudivum Nee",0
331,"Do Baaraa",0
332,"Vekh Le Viah",0
333,"Varalaru Mukkiyam",0
334,"Venam Baby",0
335,Vendum,0
336,"Fukrey 3",0
337,"Rocky Aur Rani Kii Prem Kahaani",0
338,Khadari,0
339,"Jiivi 2",0
340,Bimbisara,0
341,"Yaar Mera Titliaan Warga",0
342,"Liger Hindi",0
343,"Jind Mahi 2022",0
344,"Khaao Piyo Aish Karo",0
345,"The Last Good Album",0
346,Fursat,0
347,EP,0
348,"Whats Beef",0
349,"Jahaan Chaar Yaar",0
350,"Where Do I Go",0
351,"Whips And Clips",0
352,"Prince Tamil",0
353,"Who Want It",0
354,Why,0
355,"Full Desi 2",0
356,Chatrapathi,0
357,"Wrong Route",0
358,W,0
359,"Yaadan 2",0
360,Haterz,0
361,Andhagan,0
362,"Yadav Brand 3",0
363,Sardar,0
364,"Monica O My Darling",0
365,Zwigato,0
366,Rangoli,0
367,"You And Me",0
368,"You N I",0
369,"You Talking To Me",0
370,Bajao,0
371,"Zindagi Banti Ho",0
372,"Zindagi Ke Rang",0
373,"Pathaan Tamil Version",0
374,"1 AM",0
375,"Oh Manapenne",0
376,"Aao Na",0
377,"Aao Sanam Jao Sanam (From &quot; Mere Chachu Ki Shadi&quot;)",0
378,"A Tribute to Jagjit Singh",0
379,"Aapna Koi Nahi",0
380,"Aap Khas Ho",0
381,"O Sanam (Greatest Hits : Lucky Ali)",0
382,Aara,0
383,"Aara Piya",0
384,"Aarti Sangrah",0
385,"Aarti Vol 3",0
386,"Laxmi Aarti",0
387,"Enna Solla Pogirai",0
388,"Aashiquii Kaa Gum",0
389,"Radhe Shyam - Hindi",0
390,"Aashiq Mud Na Jaawe",0
391,"Aas - Dil Da Ki Banuga",0
392,Pistha,0
393,"Mookuthi Amman",0
394,Aatishbaazi,0
395,Aatmvishvas,0
396,"Aawara Shaam Hai",0
397,Aawazein,0
398,"Aaya Jado Da",0
399,"Aaya Jado Da x Dholla",0
400,Bharat,0
401,"Time To Dance",0
402,Puaada,0
403,"Bhoot Police",0
404,"Aazmaa Le Ishq Mera",0
405,"My Dear Bootham",0
406,"Mubarak Ho Bali Hua Hai",0
407,"Above All",0
408,"Ab Aaja",0
409,Parwane,0
410,"Holiya Mein",0
411,"Ab Ke Sawan",0
412,"Ab Kya Jaan Legi Meri",0
413,"Ab Nahi Hogi Mulakate",0
414,"Ab Nahi",0
415,Hacked,0
416,"Ab Tere Bina",0
417,Bhoomi,0
418,"Achha Ve Achha",0
419,Rambo,0
420,"Naanga Romba Busy",0
421,"Adab Jatt",0
422,"Ada Pind ",0
423,"Adha Jisam",0
424,"Adha Pind 2",0
425,"Adha Shehar",0
426,Navarasa,0
427,Sarbath,0
428,"Adhoora Hoon",0
429,"Adhoori Kahaani",0
430,Adhura,0
431,Adipoli,0
432,Bachelor,0
433,Writer,0
434,"Adi Penne",0
435,"Aelay (Original Motion Picture Soundtrack)",0
436,Tadap,0
437,"Haathi Mere Saathi",0
438,"Ae Hay",0
439,"Ae Jaan Bhaag Chala Ho",0
440,"Ae Mere Des",0
441,"Ae Mere Dil",0
442,"Ae Raja Badaniya Tutata",0
443,"Ae Sanamm",0
444,Shikara,0
445,"Ae Watan",0
446,Afeem,0
447,Affair,0
448,"Afghani Tadka",0
449,"Dil Bechara",0
450,"Afsos Karoge",0
451,"After Party",0
452,"After You",0
453,"HIDDEN GEMS",0
454,"Agarr tumm naa hote",0
455,"Age 19",0
456,Age,0
457,"Agg Att Koka Kehar",0
458,Aghori,0
459,"Ahiran Ke Saman",0
460,Ailaan,0
461,Sooryavanshi,0
462,Malaal,0
463,Kalank,0
464,"Malum Hai Na",0
465,"Aise Hue Tere Bin",0
466,"Aise Kiu",0
467,"Aise Na Chhoro",0
468,Blessed,0
469,"The Main Man",0
470,"Aish Karengi",0
471,"Shubh Mangal Zyada Saavdhan",0
472,"The Power of Dreams of a Kid",0
473,"Jai Mummy Di",0
474,"Ajeeb Dastan (Cover Version)",0
475,"Ajib Dastaan",0
476,"crowned head",0
477,Kesari,0
478,Ajnabi,0
479,"Snitches Get Stitches",0
480,"Akda Di Patti",0
481,"Teeja Punjab",0
482,"Akhaa Vich",0
483,"Akhan Di Laali",0
484,"Akhan Neeliya (feat. Rav-E Sandhu)",0
485,Wishlist,0
486,"Akhan Sujjiyan",0
487,"Mere Yaar",0
488,"Commando 3",0
489,"Tuesdays And Fridays",0
490,"Akhiyan Di Gal",0
491,Shiddat,0
492,Underrated,0
493,"Akh Da Dang",0
494,"Akh Radar",0
495,"Say My Name",0
496,"Akke Firde",0
497,"AK 47",0
498,Aladdin,0
499,"Koogle Kuttappa",0
500,"8 Chances",0
501,Alcohol,0
502,Gangaajal,0
503,Blank,0
504,"Ali Baba",0
505,"Romeo Akbar Walter - RAW",0
506,"Allah Maaf Kare",0
507,"Allah Meharbaan",0
508,"Allah Ve",0
509,"Alli Pookal",0
510,Rano,0
511,"All Bamb",0
512,"All Lies",0
513,"All White Nakhro",0
514,Alone,0
515,Alvida,0
516,"Always For You",0
517,Aly,0
518,"Durga Chalisa",0
519,"Ambran De Chann Warga",0
520,Tadipaar,0
521,"Shiva Shivaa Win Aattam Aarambam",0
522,"Mookuthi Amman (Original Background Score)",0
523,"Amma Jaye",0
524,Sufna,0
525,"Am Just Thinking",0
526,Anakh,0
527,Jango,0
528,"Anandan Wali Puri",0
529,"Annabelle Sethupathi",0
530,"Mumbai Diaries (Music from the Original Web Series)",0
531,Toofaan,0
532,"Sher Singh",0
533,Andata,0
534,Master,0
535,"And Band Bole Chora",0
536,I,0
537,Angelina,0
538,"Chak De Fatte 2021",0
539,"Angry Nature",0
540,Anjaan,0
541,Sanak,0
542,"Ankhiyaan Da Ghar",0
543,"Pati Patni Aur Woh",0
544,"Annaatthe Annaatthe (From &quot;annaatthe&quot;)",0
545,"Paris Paris",0
546,"Udanpirappe (Original Motion Picture Soundtrack)",0
547,Antidote,0
548,Anyone,0
549,Apart,0
550,"Apna Banauna",0
551,"Apna Jahaan",0
552,"Nothing Like Before",0
553,"Gully Boy",0
