id,name,points
1020,"Bulla Ki Jaana Mein Kaun",0
1021,"Bulletava Pa",0
1022,Bullet,0
1023,"Bullet Proof",0
1024,Bulleya,0
1025,Notebook,0
1026,Bungla,0
1027,"Bunty Aur Babli 2",0
1028,"Burj Khalifa",0
1029,"Butta Bomma",0
1030,Butterfly,0
1031,"Butterfly Wale (feat. Deepti Sadhwani)",0
1032,Butter,0
1033,"But Why",0
1034,Byaah,0
1035,"Byah - Single",0
1036,"Byah Ka Ladoo",0
1037,"By Chance",0
1038,"By God",0
1039,"By Myself",0
1040,B-Town,0
1041,Cadillac,0
1042,"Call History",0
1043,Call,0
1044,"Call Waiting",0
1045,Canada,0
1046,"Canada Wale",0
1047,"Canadian Boliyan",0
1048,"Candle Light",0
1049,Candyman,0
1050,"Carbon Copy",0
1051,Care,0
1052,"Care Na Kare",0
1053,Chhalaang,0
1054,Carrera,0
1055,"Carried Away",0
1056,"Carrom Ki Rani",0
1057,"Car Jatt Di",0
1058,"Car Shookdi",0
1059,Casanova,0
1060,"Casa Bella",0
1061,"Cash Flow (feat. Loco Grim)",0
1062,Casino,0
1063,"SK Is the Future",0
1064,"Chaabi Gaddi Di",0
1065,CHAAH,0
1066,"Chaal Kasuti S - Single",0
1067,"Chaand Baaliyan",0
1068,"Chaap Tilak",0
1069,"Chaar Chudiyaan",0
1070,"Chaar Dina Da Mela",0
1071,"Chaar Sahibzaade",0
1072,"Chaa Laazmi",0
1073,"Chachi Ke Baachi Sapanwa Me Aati Hai",0
1074,"Chadhte Laganiyan Ae Jaan",0
1075,"Chad Gaila Stage Pe",0
1076,"Chah Da Rang",0
1077,"Chain Sone Ki",0
1078,"Galatta Kalyaanam",0
1079,"Atrangi Re",0
1080,"Chak Begani",0
1081,"De De Pyaar De",0
1082,"Chale Aao",0
1083,"Chale Aatein Hai",0
1084,"CHALE BHI JAO",0
1085,"Chali Chali (From &quot;Thalaivi&quot;)",0
1086,Thalaivii,0
1087,"Chali Kabhi",0
1088,Challa,0
1089,Challenger,0
1090,Challenge,0
1091,"Chall Balliyae",0
1092,"Chal Dowe",0
1093,Ringtone,0
1094,"Chal Geya Smaan",0
1095,"Chal Koi Na (Let it go)",0
1096,"Sadak 2",0
1097,"Chamakelu Notiya Carrency Niyar",0
1098,"Chamak Challo",0
1099,"Chamak Chundadi",0
1100,"Chamak Dhoop Ki - Single",0
1101,Chamber,0
1102,Chamche,0
1103,"Chamkaur To 84",0
1104,Chamkila,0
1105,"evermore (deluxe version)",0
1106,Champion,0
1107,Champ,0
1108,"Chandani Bargi",0
1109,"Hello Charlie",0
1110,Aadhaar,0
1111,"Chanda Jhaanke",0
1112,"Chandigarh Gye Jatt",0
1113,"Chandigarh Jheel",0
1114,"Virsa Bolda 2021",0
1115,"Good Newwz",0
1116,"Chandigarh Parhda",0
1117,"Chandigarh Sold Out",0
1118,"Chandi Di Dabbi",0
1119,Chandrashekhar,0
1120,Chandrawal,0
1121,Chandro,0
1122,"Chand Chand",0
1123,Chand,0
1124,"Chanel Mehak Da",0
1125,"Honsla Rakh",0
1126,Changa,0
1127,"Changey Mundey",0
1128,"Change ho Gayi",0
1129,"Changi Ni Kiti",0
1130,Channa,0
1131,"Channa Veh Channa",0
1132,"Bhoot - Part One: The Haunted Ship",0
1133,"Ucha Pind",0
1134,"Chann Chann",0
1135,"Chann Ji Taras Kareo",0
1136,"Chann Kithan",0
1137,"Chann Mahiya Ve",0
1138,"Chann Te Daag",0
1139,"Chan Chan - Single",0
1140,"Chan Vekhya",0
1141,"Chan Ve",0
1142,Chaos,0
1143,Charcha,0
1144,Charche,0
1145,"Ik Sandhu Hunda Si",0
1146,Chardikala,0
1147,"Charged Up",0
1148,"Medicine At Midnight",0
1149,"Chaske Tere",0
1150,"Chatak Chalungi Main Matak Chalungi",0
1151,"Chatak Matak",0
1152,"Chatata Telchata",0
1153,"Dil Hi To Hai",0
1154,Chaudhary,0
1155,"Cheater Boy",0
1156,Checkmate,0
1157,"Chehre 2021",0
1158,Chehre,0
1159,Doctor,0
1160,Chemicals,0
1161,"Chhaap Tilak",0
1162,"The Girl On The Train",0
1163,Chhapaak,0
1164,"CHHATHI MAIYA BULAYE",0
1165,"Chhel Chhabeli",0
1166,Chhitte,0
1167,"Chhora Chhori Club Mein",0
1168,"Chhora Dhoti Aala",0
1169,"Chhora Fauj Mai",0
1170,"Chhor Denge (Feat. Nora Fatehi)",0
1171,"Chhoti Tohara Choti Se Chot Lagata",0
1172,"Chhot Pichkari",0
1173,"Holi Dhamaka 2021",0
1174,"Chhuta Hain Dil",0
1175,"Chidiya Da Chamba",0
1176,Chidiya,0
1177,"Chidi Chidi (From &quot;Madam Chief Minister&quot;)",0
1178,"Chidi Udd Kaa Udd",0
1179,"Chief Guest",0
1180,"Chill Mode On",0
1181,"Chill Mode",0
1182,"Chimta Bolda",0
1183,"Chinta Na Kar (From &quot;Hungama 2&quot;)",0
1184,Chithiyaan,0
1185,Chithi,0
1186,"Chitiyan Kalayian",0
1187,"Chiti Kheshi",0
1188,"Level Up",0
1189,"Chitte Baane",0
1190,Chitthi,0
1191,"Chittiyan Kalaiyan",0
1192,"Chit Badli Khiya Ke",0
1193,Chobara,0
1194,Chobbar,0
1195,"Chocolate (From &quot;Sangeetkaar&quot;)",0
1196,Chocolate,0
1197,Ragasur,0
1198,"Choodiyan - Single",0
1199,"Choom Lun",0
1200,Choorha,0
1201,"Chora Gaam Ka",0
1202,"Chori Baliye",0
1203,"Chori Chori",0
1204,"Chota Number",0
1205,"Chote Sahibzaade",0
1206,"Chote Sahibzade",0
1207,"Krishna Bhajan - Choti Choti Gaiya",0
1208,"Choti Choti Gallan",0
1209,Mimi,0
1210,"Ikko - Mikke",0
1211,"Chubare Wali Baari",0
1212,"Chubhti Hai Saansein",0
1213,Chudiyan,0
1214,"Chumma 4 Go",0
1215,"Chumma Deb Aitwar Ke",0
1216,"Naya Saal Me Chumma Le La",0
1217,"Chumma Rap Song",0
1218,"Chunari Jhalkaua - Ritesh Pandey",0
1219,"Chunar Choli",0
1220,Chundadi,0
1221,Chundad,0
1222,Chunni,0
1223,"Chunriya - Single",0
1224,"Chup Chup Milna - Single",0
1225,"Chup Na Raho",0
1226,Chup,0
1227,Churaya,0
1228,"Chura Ke Dil Mera (From &quot;Hungama 2&quot;)",0
1229,"Chura Liya Hai Tumne",0
1230,"Chura Liya",0
1231,"Churey Wali",0
1232,Churi,0
1233,"Chu Gon Do",0
1234,Circle,0
1235,"Clara My Name Is Clara (From &quot;Laabam&quot;)",0
1236,Classmate,0
1237,"Classy Jatt",0
1238,"Classy Profile",0
1239,Clock,0
1240,Solace,0
1241,"Coat Caaran Ghore",0
1242,"Luka Chuppi",0
1243,Cocktail,0
1244,Coco,0
1245,"Coco Cola",0
1246,Coffee,0
1247,"Funzoa Songs, Vol. 11",0
1248,"Cold Blood",0
1249,Colgate,0
1250,"College Ki Chhori",0
1251,Collgate,0
1252,"Come My Way",0
1253,Conflict,0
1254,Confused,0
1255,"Confused Jatt",0
1256,Chhichhore,0
1257,Controversy,0
1258,Convince,0
1259,Cooldown,0
1260,"Coolie No. 1",0
1261,Cooper,0
1262,Copyright,0
1263,"Cop Cop",0
1264,"Courage Not Loose",0
1265,"Cover Me In Sunshine",0
1266,Crazy,0
1267,"Arjun Patiala",0
1268,"Crazy Lady",0
1269,"Crazy Life 2",0
1270,Cream,0
1271,Crew,0
1272,CRIB,0
1273,"Cricket Khidaiye",0
1274,Crime,0
1275,"Criminal Crush",0
1276,"Criminal Munda",0
1277,"Criminal Yaar",0
1278,"Cross Parcha",0
1279,Crowd,0
1280,Crush,0
1281,"Corona Kumar",0
1282,Curfew,0
1283,Current,0
1284,"Cutie Pie",0
1285,"C Maan Gaya",0
1286,"Daade Ki Gun",0
1287,Daag,0
1288,Daaka,0
1289,Daaku,0
1290,Daang,0
1291,"Daang Khadke",0
1292,"Daante Katab",0
1293,"Daaru 24X7",0
1294,"Daaru Aali Jidd - Single",0
1295,"Daaru Band",0
1296,"Daaru Da Sahaara",0
1297,"Daaru Ki Peti",0
1298,"Daaru Peeno",0
1299,"Daaru Pee Ke",0
1300,"Why Cheat India",0
1301,Daastan,0
1302,Dabbang,0
1303,"Dabda Ni",0
1304,"Dabde Ni",0
1305,"Dabya Ni Karde",0
1306,"Dada Ravan",0
1307,"Dadi Ji De Lal",0
1308,"Dad Da Jawai",0
1309,"Daffa Ho",0
1310,Dagaa,0
1311,Dakait,0
1312,"Dakke Firde",0
1313,Damad,0
1314,"Daman Aali Jhol",0
1315,"Dance Like",0
1316,"Dance Meri Rani",0
1317,Velan,0
1318,"Dangerous Eyes",0
1319,Dangerous,0
1320,"Danger Life",0
1321,"Danka Baja (From &quot;Mumbai Saga&quot;)",0
1322,Daraar,0
1323,"Darani Jithani 2",0
1324,"Dardi Aa",0
1325,"Dard Kitna Hai",0
1326,"Dard Tere",0
1327,"Dard Viah Da",0
1328,"Dark Nights",0
1329,Darling,0
1330,"Darmi Cool - Single",0
1331,"Darr Ke Aage Jeet Hai - Sukhwinder Singh",0
1332,"Daru De Record",0
1333,"Daru Hor Piyade",0
1334,"Daru Vs Me",0
1335,Dashboard,0
1336,"Dass Jatta",0
1337,"Dastaan E Ishq",0
1338,Dastan,0
1339,"Das Kon",0
1340,"Date Kar Le",0
1341,Dawood,0
1342,Dayger,0
1343,"Day Ones",0
1344,Dd1,0
1345,"Dead Body",0
1346,"Dead Roads",0
1347,"Deaf &#039;n&#039; Dumb",0
1348,Deal,0
1349,"Dear Mama",0
1350,December,0
1351,Deception,0
1352,"Dedh Inch",0
1353,"Dedicate For Love",0
1354,"Saregama Bare",0
1355,"Deewana Humke Bana Gail",0
1356,Deewane,0
1357,"Deewangi Ki Raat",0
1358,"Degree Wale Yaar",0
1359,"Seven Rivers",0
1360,"Deho Sajan Aaseesareeaa",0
1361,"Dekha Gaari Mat Da",0
1362,"Dekha Hai Jabse Tujhe ",0
1363,"Dekhe Saare Khwaab",0
1364,"Delhi Sheher",0
1365,"Delhi Waaliye",0
1366,"Delhi Wali Dil Leke Bhagal",0
1367,Demanda,0
1368,"Demand Saukan Ki",0
1369,Demand,0
1370,Demon,0
1371,"Deo Asees Nanak",0
1372,Depend,0
1373,"Dera Daang Te",0
1374,Desiyan,0
1375,"Desi Banda",0
1376,"Desi Bill Gate - Single",0
1377,"Desi Chora",0
1378,"Desi Haan Ji",0
1379,"Desi Katta",0
1380,"Des Malwa",0
1381,"Devare Ke Pichkari Best Ba",0
1382,Devdas,0
1383,"Deve Na Jawab",0
1384,"Devra Gaal Misi Misi - Single",0
1385,"Dewar ji Aah Dewar ji",0
1386,"De Daroo",0
1387,"De Ijaazat",0
1388,"De Una Vez",0
1389,"Dhadak Dhadak",0
1390,Dhadkan,0
1391,"Dhake Suti Le Teddy Bear",0
1392,Dhakka,0
1393,"Dhakka Laga Bukka From Tandav",0
1394,"Dhalde Suraj",0
1395,"Dhamaka Hoi Aara Mein",0
1396,Dhanwaad,0
1397,Dhanyawad,0
1398,"Daadi Ji 2",0
1399,"Dhan Dhua Ho Jai",0
1400,"Dharala Prabhu",0
1401,"Dhaun Cho Killa",0
1402,"Dheeme Dheeme",0
1403,"Dheeyan (The Pride of Father)",0
1404,"Dhila Jurha",0
1405,"Dhillu Ka Byah 1990",0
1406,Dhodiya,0
1407,"Dhoghad - Single",0
1408,Dhokebaaz,0
1409,Dhokha,0
1410,"Dhokha (feat. Amar Singh Chamkila &amp; Amarjot)",0
1411,"Dhokhebaaz Ho Gaya",0
1412,"Dhokhe Baaz",0
1413,"Dhola Suit",0
1414,"Dhola Ve",0
1415,"Dholida Dhol Re",0
1416,Dholna,0
1417,"Top 3 OF Gulzaar Chhaniwala",0
1418,"Dhoondein Sitaare",0
1419,"Jabariya Jodi",0
1420,"Dhoor Pendi",0
1421,"Dhuaan Dhuaan",0
1422,"Dhua Dhua",0
1423,"Dhund Di Khushboo",0
1424,Dhup,0
1425,"Dhyan De",0
1426,"Dial 100",0
1427,"Diamond Ka Borla",0
1428,"Diamond Ka Haar",0
1429,"Diamond Ring",0
1430,"Didi Ke Devar Jas Chahi Laika",0
1431,Diet,0
1432,Different,0
1433,"Different Rule",0
1434,"Dilaan De Rajya",0
1435,"Dilaan Utte Raaj",0
1436,Dilbar,0
1437,"Shubh Vivah",0
1438,Dildari,0
1439,Dilliwaliye,0
1440,"Dilli Kasuti",0
1441,Dilwale,0
1442,"Dilwe Nikal Li",0
1443,"Dil Ali Baat",0
1444,"Dil Badnaam",0
1445,"Dil Beimaan",0
1446,"Dil Chahte Ho",0
1447,"Dil Ch Bhuchaal",0
1448,"En Route",0
1449,"Radhe - Your Most Wanted Bhai",0
1450,"Dil De Naal",0
1451,Myrah,0
1452,"Dil Di Gal",0
1453,"Dil Di Queen",0
1454,"Dil Di Rani",0
1455,"Dil Do Kisi Ek Ko",0
1456,"Dil Galti Kar Baitha Hai (Feat. Mouni Roy)",0
1457,"Dil Ghayal Kare Ankhiya Ke Kajrava",0
1458,"Dil Haare",0
1459,"Dil Hai Deewana",0
1460,Ludo,0
1461,"Dil Kare Chori",0
1462,"Dream Girl",0
1463,"Dil Ka Thikana",0
1464,"Dil Ke Kagaz Pe",0
1465,"Dil Khol Do",0
1466,"Dil Kisi Se",0
1467,"Dil Ki Aadat",0
1468,"Dil Ko Karaar Aaya (Reprise)",0
1469,"Dil Ko Karaar Aaya (From &quot;Sukoon&quot;)",0
1470,"Dil Ko Maine Di Kasam",0
1471,"Dil Ko Mere",0
1472,"Dil Kya Kahe",0
1473,"Universally SANAM",0
1474,"Dil Lai La",0
1475,"Dil Lauta Do",0
1476,Achanak,0
1477,"Dil Lutgayi",0
1478,"Dil Mai Basaya",0
1479,"Dil Mangdi",0
1480,"Dil Mein Jigar Main",0
1481,"Mission Mangal",0
1482,"Dil Melt Karda (From &quot;Haseen Dillruba&quot;)",0
1483,"Dil Mera Blast - Single",0
1484,"Dil Mera",0
1485,"Dil Na Dukha",0
1486,"Dil Na Lagaiti Harjayi Se",0
1487,"Dil Na Todunga",0
1488,"Dil Na Tod Dai",0
1489,"Dil Ne",0
1490,"Dil Nu Dildaar",0
1491,"Dil Sada",0
1492,"Dil Sambh Lai",0
1493,"Dil Sohniye",0
1494,"Dil Ta Bacha Eh ",0
1495,"Dil Tera Deja",0
1496,"Indoo Ki Jawani",0
1497,"Dil Tera V Darda",0
1498,"Dil Tere Bina",0
1499,"Dil Tere Bin",0
1500,"Dil Tere Nu",0
1501,"Dil Tere Ute Agya",0
1502,"Dil Todna",0
1503,"Dil Todne Se Pehle",0
1504,"Dil Todta",0
1505,"Adhi Tape",0
1506,"Dil Tod Ke",0
1507,"Dil Tudwa Ke",0
1508,"Dil Tune Toda Hai",0
1509,"Dil vs Watt",0
1510,"DIL WAPIS KARDO",0
1511,"Dil Yaar Da",0
1512,Kurup,0
1513,"Kurup - Hindi",0
1514,Mirzapur,0
1515,"Disco Balma",0
1516,"Punya Paap",0
1517,Dishonest,0
1518,"Distance - Aide-Memoire",0
1519,"Distance Love",0
1520,Disturb,0
1521,Diva,0
1522,"Diwali 2",0
1523,"Diwana Tera",0
1524,"Dj Aale Babu",0
1525,"DJ Bajwadungi 2",0
1526,"DJ Bajwadungi 3",0
1527,"DJ Na Rok Die",0
1528,"Dj Pe Nachungi",0
1529,"DJ Remix Love Sayari Boom",0
1530,"DJ Remix Love Shayari Oye Oye",0
1531,"DJ Remix Sad Shayari Bumper",0
1532,"Dj Wala Gaana",0
1533,"DNA Mein Dance",0
1534,"Dobara Alvida (From &quot;Dobara Alvida&quot;)",0
1535,Dogar,0
1536,"Dole Laadle",0
1537,"Doli Me Na Baithinhe",0
1538,"Dollaran De Bag",0
1539,"Dont Ask",0
1540,"Dont Be the One",0
1541,"Dont Care",0
1542,"Don&#039;t Know Why",0
1543,"Dont Like",0
1544,"Don&#039;t Trust",0
1545,Don,0
1546,"Doob Gaye",0
1547,"Dooja Pyaar",0
1548,Dooriyan,0
1549,"Door Hoke Bhi Tu",0
1550,"Door Ho Gaya",0
1551,"Door Thara Gaam",0
1552,Doremon,0
1553,"Dosti (From &quot;RRR&quot;)",0
1554,"Double Barrel",0
1555,"Doun Dilan",0
1556,Downfall,0
1557,"Do Din Ki Zindagi",0
1558,"Do Gallan",0
1559,"Do Ghoont",0
1560,Safar,0
1561,"Do Nain",0
1562,"Do Tarfa",0
1563,"Do Vaari Jatt",0
1564,"Choo Mandhira Kaali",0
1565,"Dreams Come True",0
1566,"Dream Mein Entry",0
1567,"Still Here",0
1568,Dream,0
1569,Dress,0
1570,"Drip Too Hard",0
1571,"Driver Truck Ke",0
1572,Droptop,0
1573,"Drunken Jatt",0
1574,"Drunk n High",0
1575,"Duaa Mein Yaad Rakhhna",0
1576,"Dua Kijiye",0
1577,Dua,0
1578,"Dubai vs. Canada",0
1579,"Dudh Rangiye",0
1580,Duffer,0
1581,"Dugo Rakhale Bani",0
1582,"DUI Rupya",0
1583,"Dujja Cup",0
1584,Dukh,0
1585,"Dukh Sukh",0
1586,"Dukki Tikki",0
1587,"Dularuwa Jija Ji",0
1588,"Duldi Sharab",0
1589,"Dulhan Bani Mai Apni Piya Ki",0
1590,Dullah,0
1591,Dumdaar,0
1592,"Hum Do Humare Do 2021",0
1593,"Dum Laga Ke Bum Hila",0
1594,Duniadaari,0
1595,Duniadari,0
1596,"Duniya Chhor Doon",0
1597,"Duniya Sari",0
1598,"Khaali Peeli",0
1599,"Dupatta Katal Kare",0
1600,Durango,0
1601,"RejctX 2",0
1602,"Each Other",0
1603,"East Side Flow",0
1604,"Vaanam Kottattum",0
1605,Echoing,0
1606,"Echo (with KSHMR)",0
1607,"Naai Sekar",0
1608,Seethayanam,0
1609,"Murungakkai Chips",0
1610,Eeswaran,0
1611,"Radhe Shyam",0
1612,Ego,0
1613,"Ehi Khaatir Aara Aile",0
1614,Ehsaas,0
1615,"Eh Ke Maye Ho Gaya",0
1616,EightCylinder,0
1617,"Ek Bewafaa",0
1618,"Ek Din",0
1619,"Ek Dua",0
1620,"Ek Husan Tera",0
1621,"Ek Ishare Pe Tere",0
1622,"Jhalliye Tu Rona Chad De",0
1623,"Ek Ladki Bheegi Bhaagi Si",0
1624,"Ek Rishta Se",0
1625,"Ek Tarfa",0
1626,"Ek Teri Khatir",0
1627,Marjaavaan,0
1628,"Angrezi Medium",0
1629,Elaan,0
1630,"Ellam Unnale",0
1631,"El Chapo",0
1632,"El Jatt",0
1633,Embassy,0
1634,"Kasada Tabara",0
1635,"Enakku Mattum",0
1636,"Ena Na Staya Kar (Dunia)",0
1637,"End Game",0
1638,Enemy,0
1639,Engagement,0
1640,"Engine Blow",0
1641,"Enjoy Enjaami",0
1642,"Oh My Kadavule",0
1643,"Ennam Pol Vazhkai",0
1644,"Thalli Pogathey",0
1645,"Enna Vazhka Da",0
1646,Teddy,0
1647,Yaaro,0
1648,Katteri,0
1649,"Eppadi Iruntha Naanga (From &quot;Sulthan&quot;)",0
1650,"Eppa Paarthaalum (From &quot;Aalambana&quot;)",0
1651,ERA,0
1652,Estupido,0
1653,Evidence,0
1654,Excuses,0
1655,Excuse,0
1656,Exotic,0
1657,"Expensive Cars",0
1658,Expensive,0
1659,"Ex Calling",0
1660,"Ex Girlfriend",0
1661,"Eyes on You",0
1662,"Eye Shot",0
1663,"Pushpa - The Rise",0
1664,"Faaslo Pe",0
1665,Faisla,0
1666,Fakeism,0
1667,"Fake A Smile",0
1668,"Fake Brother",0
1669,"Fake Love",0
1670,"Fake Promises",0
1671,Fakira,0
1672,"Fakira Da",0
1673,"Student of the Year 2",0
1674,"Falanwa Ke Beta Sapanwa Me Aata Hai 2",0
1675,"Fallin for You",0
1676,Family,0
1677,Famous,0
1678,Fanaa,0
1679,Faniyar,0
1680,Fantasy,0
1681,"Fan Fakkad Ka (feat. Subhash Fozi)",0
1682,"Fan Look Ka",0
1683,Faraar,0
1684,"Lazy POP",0
1685,Farak,0
1686,"Farak Pe Geya",0
1687,Fariyad,0
1688,Farmer,0
1689,"Farq Nahi Padta",0
1690,"Fashion Di Definition",0
1691,"Fashion Wala Suit",0
1692,"Fate (The Real Story)",0
1693,"Father Saab",0
1694,"Fatteh Chak",0
1695,Fault,0
1696,Favourite,0
1697,Feelings,0
1698,"Feeling Great",0
1699,"Feeling Seeling",0
1700,"Feeling You",0
1701,"Feel Hai",0
1702,"Vaazhl (Original Motion Picture Soundtrack)",0
1703,"Feem Aali Dabbi",0
1704,"King Pin",0
1705,"Feem Afghani",0
1706,Feem,0
1707,"Feem Jatti",0
1708,"FEEM WARGI",0
1709,"Few Days",0
1710,"Fikar Hai",0
1711,"Fikar Kardi",0
1712,Fikar,0
1713,"Fikkar Koi Na",0
1714,"Friends Matter",0
1715,"Filhaal2 Mohabbat",0
1716,Filhall,0
1717,Filmaa,0
1718,Finally,0
1719,"Fiqar Faridan",0
1720,Fiqar,0
1721,Fire,0
1722,"Fire Chalde",0
1723,"Fire Honge",0
1724,"Fire Jatt De",0
1725,"Fire Maare",0
1726,"Firse Machayenge",0
1727,"First Class",0
1728,"First Haryanvi Drill",0
1729,"First Kiss",0
1730,Fitrat,0
1731,"Fix This (feat. Raashi Sood)",0
1732,Flame,0
1733,"Flavour Hukka",0
1734,"Floating Through Space",0
1735,"Flood Back",0
1736,Flop,0
1737,"Flying Kiss",0
1738,Fly,0
1739,Focus,0
1740,"Fokke Laarey",0
1741,"Follow Karda",0
1742,Fond,0
1743,Foolad,0
1744,"Forget About It",0
1745,"For U Jannat Skoon",0
1746,"Freakin Love",0
1747,"Freestyle 21",0
1748,Freestyle,0
1749,"Litti Chokha",0
1750,"Free Style",0
1751,"Frod Balma",0
1752,"Fulla Aali Jutti",0
1753,"Fully Loaded",0
1754,"Fursat Hai Aaj Bhi",0
1755,"Future Plan",0
1756,"Gaali Si Lagti Hai",0
1757,"Gaal Bhulke Aagi",0
1758,"Gaana Tere Yaar Da",0
1759,"Gaandu Kannamma",0
1760,Gaani,0
1761,"Gaani Yaar Di",0
1762,"Gaat Me Kat - Single",0
1763,Gabhru,0
1764,"Gabru Chan Warga",0
1765,"Gabru Da Naam",0
1766,"Gabru De Naa Karke",0
1767,Gabru,0
1768,"Gabru - Kamaal Khan",0
1769,Ghagra,0
1770,Gutt,0
1771,"G Loss",0
1772,G-Wag,0
1773,"Hasdi Reya Kar",0
1774,"Holi Mein De De Chumma",0
1775,"Holi Mein Sadhu Aya Hai",0
1776,Hollari,0
1777,"How Many",0
1778,"Hoyi Bhatijwa Holi Mein",0
1779,Ishq,0
1780,"Jack n Jill",0
1781,"Jee Ni Karda",0
1782,"Juda Kar Diya",0
1783,Kadar,0
1784,Karnan,0
1785,Kangana,0
1786,"Kara Tani Tuhu Control",0
1787,"Kde Kde",0
1788,"Lahe Lahe Rangab Salwarwa",0
1789,"Lawangiya Mirchaiya Rangihe Hamar Saiyan",0
1790,"Lilo Chaman 3",0
1791,"Lost Love",0
1792,"Main Nahi Jaunga",0
1793,"Majhe Wale",0
1794,Meherbaniyan,0
1795,"Mere Angne Mein",0
1796,Mustang,0
1797,Nayan,0
1798,Neat,0
1799,"Raakh Lagake Remix",0
1800,"Ring Ring",0
1801,"Mumbai Saga",0
1802,Sin,0
1803,"Surma Bole",0
1804,"Tenu Meri Umar Lag Jaave",0
1805,"Tenu Ni Pta",0
1806,"Tohar Marda Hamar Saar Lagela",0
1807,"Tu Aa Jaana",0
1808,"Tu Lagdi Ferrari",0
1809,"Zara Thehro",0
1810,"Gaddar Banda",0
1811,"Gaddian Te Karre (feat. Jot Sekhon)",0
1812,"Gaddiyan Black",0
1813,"Gaddi Boldi",0
1814,"Gaddi da Number",0
1815,"Gaddi Neevi",0
1816,"Gadi Kali",0
1817,"Gairan De Suit",0
1818,Gajanan,0
1819,"Gajban 2",0
1820,"Gajban Ki Taur",0
1821,Gajban,0
1822,Galat,0
1823,"Galat Baat",0
1824,Galbat,0
1825,"Gale Lagana Hai",0
1826,"Gallaan Teriyaan",0
1827,"Gallan Ch Romance",0
1828,Gallan,0
1829,"Gallan Dogaliyan",0
1830,"Gallan Goriyan",0
1831,"Gallan Hun De Waqt Diyan",0
1832,"Gallan Ne Do ",0
1833,Gall,0
1834,"Gall Sun Jatta",0
1835,"Galte Chalte Ba",0
1836,Galti,0
1837,"Galti Ta Das",0
1838,"Gal Baap Di",0
1839,"Gal Dil Di",0
1840,"Gal Gabru Di",0
1841,"Gal Karke",0
1842,"Gal Karle",0
1843,"Gal ki aeee",0
1844,"Gal Mardan Wali",0
1845,"Gal Sun",0
1846,"Gal Sun Makhna",0
1847,Game,0
1848,"Game Over",0
1849,Gandasa,0
1850,Gangajal,0
1851,Gangmates,0
1852,"Gangsta Blood",0
1853,Gangster,0
1854,"Gangster Yaar",0
1855,Gangwar,0
1856,"Garbe Ki Raat",0
1857,"Garmi Mein Chill",0
1858,"Garmi Non Stop Dance Mix",0
1859,"Garmi Remix",0
1860,Garnetar,0
1861,"Gayatri Mantra",0
1862,"Gaye Jo Tum",0
1863,"Geda Geda",0
1864,Gede,0
1865,Gediyan,0
1866,Gedi,0
1867,"Gedi On Ford",0
1868,"Gedi Route",0
1869,Geet,0
1870,"Gehne Naal Taur",0
1871,"Genda Phool (Junkilla Remix)",0
1872,"Genda Phool",0
1873,Gentlemen,0
1874,"Gerhe Te Gerha",0
1875,Ghaghro,0
1876,"Ghagra 52 Gaj Ka",0
1877,"Ghaint Ghaint Suit",0
1878,Ghalat,0
1879,"Tanhaji - The Unsung Warrior",0
1880,"Ghana Kasoota",0
1881,"Rashmi Rocket",0
1882,"Ghani Marod",0
1883,"Ghar Aaja",0
1884,"Ghar Aao Na",0
1885,"Ghar Aaya Mera Pardesi - Ft. Ayesha Mulla",0
1886,"Ghar Tum Hi Ho",0
1887,"Ghatak Munde",0
1888,"Ghat Jayi Ka",0
1889,Ghesla,0
1890,"Ghoomar - Single",0
1891,"Ghoom Ghagra - Single",0
1892,"Ghum Ghaghra",0
1893,"Ghunghata Uthai La",0
1894,"Ghunghat 3",0
1895,"Ghunghat Gori Ka",0
1896,"Ghunghat Ka Tala - Single",0
1897,"Ghungroo Toot Gaye",0
1898,Ghungroo,0
1899,War,0
1900,Ghungru,0
1901,"Ghut Sapni",0
1902,Giftaan,0
1903,"Girkana Tera Re",0
1904,Girkani,0
1905,Girlfriend,0
1906,"Glock 32",0
1907,Glock,0
1908,"Goat Dekho",0
1909,Goat,0
1910,"Goa Beach",0
1911,Godfather,0
1912,"God&#039;s Plan",0
1913,"God Will Judge",0
1914,Takkar,0
1915,"Golden Jatti",0
1916,"Gold Kangan",0
1917,Goli,0
1918,"Goli Wargi",0
1919,"Gol Mol",0
1920,Goodfella,0
1921,Goodwill,0
1922,"Good Luck",0
1923,"Good Naai Bad Aadu",0
1924,"Good Night",0
1925,"Gora Gora Rang",0
1926,"Gora Rang",0
1927,"Goriyaan Goriyaan",0
1928,Goriye,0
1929,"Gotta Go",0
1930,Gott,0
1931,"Govind Bolo",0
1932,"Go Down Deh (feat. Shaggy and Sean Paul)",0
1933,"Go Find Out",0
1934,"Go to Hell",0
1935,Graffiti,0
1936,Grandfather,0
1937,"Great Gang",0
1938,Grind,0
1939,Grip,0
1940,Grow,0
1941,"Gudde Guddian Da Khel",0
1942,Guess,0
1943,"Guitar Vajda",0
1944,"Gujjar Boy",0
1945,Gulaam,0
1946,"Gulabi Lehenga",0
1947,Gulgule,0
1948,"Gally Ki Party Latest Hindi Rap",0
1949,"Gulu Gulu Rap Song",0
1950,Gumsum,0
1951,Gunaah,0
1952,"Gunday Yaar",0
1953,Gundazone,0
1954,"Gundeyan Di Gaddi",0
1955,"Gunde Te Pyaar",0
1956,Gundumalli,0
