id,songId,artistId
1,11,785
2,426,1763
3,596,99
4,805,330
5,1341,1870
6,1469,40
7,1555,3
8,1556,3
9,1641,44
10,1689,46
11,1851,1
12,1878,1763
13,1895,3
14,1976,6
15,2134,9
16,2149,12
17,2163,14
18,2164,15
19,2165,15
20,2166,14
21,2199,17
22,2498,20
23,2518,24
24,2522,26
25,2526,14
26,2529,14
27,2552,28
28,2625,32
29,2926,14
30,3020,53
31,3067,51
32,3232,61
33,3358,547
34,3460,1763
35,3505,6
36,3647,367
37,3980,105
38,4113,776
39,4269,15
40,4270,15
41,4359,326
42,4437,82
43,4506,14
44,4526,188
45,4609,4
46,4610,4
47,4759,199
48,5257,570
49,5289,121
50,5575,833
51,5591,334
52,5837,1763
53,5888,22
54,5892,31
55,5909,3
56,6305,21
57,6689,323
58,6893,22
59,7073,1109
60,7263,1224
61,7531,152
62,7589,89
63,7605,184
64,7609,200
65,7669,131
66,7680,6
67,7734,905
68,8111,334
69,8312,135
70,8313,1763
71,8583,14
72,8751,3
73,8784,992
74,8961,1109
75,9405,750
76,9406,4
77,9487,155
78,9505,15
79,9524,160
80,9542,162
81,9543,164
82,9551,165
83,9555,166
84,9558,168
85,9564,170
86,9573,135
87,9578,174
88,9586,176
89,9590,170
90,9603,178
91,9604,179
92,9605,180
93,9626,183
94,9632,184
95,9646,186
96,9655,188
97,9659,189
98,9661,64
99,9685,166
100,9690,193
101,9694,178
102,9712,196
103,9741,133
104,9742,133
105,9766,199
106,9793,202
107,9800,11
108,9802,203
109,9805,204
110,9806,205
111,9819,206
112,9820,209
113,9834,6
114,9839,99
115,9846,22
116,9867,212
117,9873,214
118,9877,216
119,9879,218
120,9882,221
121,9900,222
122,9902,224
123,9904,226
124,9905,227
125,9907,99
126,9914,230
127,9922,189
128,9934,59
129,9947,233
130,9949,236
131,9960,238
132,9962,239
133,9965,242
134,9983,244
135,9991,245
136,9995,10
137,10003,248
138,10015,249
139,10017,172
140,10020,252
141,10025,255
142,10032,77
143,10035,51
144,10036,258
145,10041,259
146,10043,260
147,10049,257
148,10052,261
149,10058,264
150,10068,266
151,10070,268
152,10073,68
153,10074,6
154,10075,26
155,10076,272
